6.7	62	81	2.59	50	695	6.544
5.1	59	66	1.7	39	403	5.999
7.4	57	83	2.16	55	710	6.565
6.5	73	41	2.01	48	349	5.854
7.8	65	115	4.3	45	2343	7.759
5.8	38	72	1.42	65	348	5.852
5.7	46	63	1.91	49	518	6.25
3.7	68	81	2.57	69	749	6.619
6	67	93	2.5	58	1056	6.962
3.7	76	94	2.4	48	968	6.875
6.3	84	83	4.13	37	745	6.613
6.7	51	43	1.86	57	257	5.549
5.8	96	114	3.95	63	1573	7.361
5.8	83	88	3.95	52	858	6.754
7.7	62	67	3.4	58	702	6.554
7.4	74	68	2.4	64	809	6.695
6	85	28	2.98	36	682	6.526
3.7	51	41	1.55	39	205	5.321
7.3	68	74	3.56	59	550	6.309
5.6	57	87	3.02	63	838	6.731
5.2	52	76	2.85	39	359	5.883
3.4	83	53	1.12	67	353	5.866
6.7	26	68	2.1	30	599	6.395
5.8	67	86	3.4	49	562	6.332
6.3	59	100	2.95	36	651	6.478
5.8	61	73	3.5	62	751	6.621
5.2	52	86	2.45	70	545	6.302
11.2	76	90	5.59	58	1965	7.583
5.2	54	56	2.71	44	477	6.167
5.8	76	59	2.58	61	600	6.396
3.2	64	65	0.74	53	443	6.094
8.7	45	23	2.52	68	181	5.198
5	59	73	3.5	57	411	6.019
5.8	72	93	3.3	39	1037	6.944
5.4	58	70	2.64	31	482	6.179
5.3	51	99	2.6	48	634	6.453
2.6	74	86	2.05	45	678	6.519
4.3	8	119	2.85	65	362	5.893
4.8	61	76	2.45	51	637	6.457
5.4	52	88	1.81	40	705	6.558
5.2	49	72	1.84	46	536	6.283
3.6	28	99	1.3	55	582	6.366
8.8	86	88	6.4	30	1270	7.147
6.5	56	77	2.85	41	538	6.288
3.4	77	93	1.48	69	482	6.178
6.5	40	84	3	54	611	6.416
4.5	73	106	3.05	47	960	6.867
4.8	86	101	4.1	35	1300	7.17
5.1	67	77	2.86	66	581	6.365
3.9	82	103	4.55	50	1078	6.983
6.6	77	46	1.95	50	405	6.005
6.4	85	40	1.21	58	579	6.361
6.4	59	85	2.33	63	550	6.31
8.8	78	72	3.2	56	651	6.478
